id_institucion,anio,cantidad_mujeres,cantidad_varones
1,2020,335,146
2,2020,4914,2316
3,2020,7012,3419
4,2020,3879,2966
5,2020,54225,30904
6,2020,2055,1473
7,2020,2446,1894
8,2020,6653,4463
9,2020,657,251
10,2020,5720,3308
11,2020,,
12,2020,26708,15753
13,2020,4578,3199
14,2020,697,1454
15,2020,4447,2349
16,2020,2318,1267
17,2020,3249,4478
18,2020,1133,742
19,2020,6059,3470
20,2020,4933,2106
21,2020,4170,2953
22,2020,3713,3061
23,2020,2352,1158
24,2020,18749,12976
25,2020,3703,2337
26,2020,2219,1477
27,2020,7218,4867
28,2020,7206,4582
29,2020,5270,2843
30,2020,6918,3782
31,2020,4755,3131
32,2020,1689,1156
33,2020,8396,6251
34,2020,1268,995
35,2020,2094,900
36,2020,2263,1016
37,2020,3098,1976
38,2020,657,106
39,2020,6016,4046
40,2020,552,471
41,2020,2266,1383
42,2020,2881,1591
43,2020,12788,7483
44,2020,2998,1981
45,2020,649,443
46,2020,2932,2366
47,2020,2669,1711
48,2020,3940,2559
49,2020,1147,787
50,2020,1123,143
51,2020,4195,3007
52,2020,6395,16824
53,2020,1107,818
54,2020,3316,2103
55,2020,8787,5601
56,2020,1271,838
57,2020,521,286
58,2020,,
59,2020,333,1468
60,2020,893,1005
61,2020,172,839
62,2020,5494,2973
63,2020,638,277
64,2020,1378,1174
65,2020,3529,1693
66,2020,793,292
67,2020,548,377